idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
1,37,not white,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Operatives,union,11.739125,48,10.333334,5.3333335
2,37,not white,single,0,12,not college grad,0,SMSA,1,Manufacturing,Craftsmen,union,6.4009633,40,13.621795,5.25
3,42,not white,single,1,12,not college grad,0,SMSA,1,Manufacturing,Sales,,5.0167227,40,17.73077,1.25
4,43,white,married,0,17,college grad,0,SMSA,0,Professional Services,Other,union,9.0338125,42,13.211537,1.75
6,42,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,nonunion,8.0837307,48,17.820513,17.75
7,39,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,4.6296296,30,7.3269229,2.25
9,37,white,single,0,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Managers/admin,union,10.491142,40,19.04487,19
12,40,white,married,0,18,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,17.206116,45,15.557693,14.166667
13,40,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,13.083735,8,14.25,5.5
14,40,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,7.7455678,50,7.3846154,2.25
15,39,white,married,0,16,college grad,0,SMSA,0,Professional Services,Professional/technical,union,16.795479,16,15.769231,8.416667
16,40,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,15.48309,40,16.384615,13.833333
18,40,white,married,0,15,not college grad,0,SMSA,0,Wholesale/Retail Trade,Craftsmen,nonunion,5.2334948,40,7.75,7.75
19,40,white,single,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,10.161026,40,14.211538,5.5833335
20,39,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,9.6618366,4,15.858974,4.6666665
22,41,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.057972,32,15.012821,3
23,42,white,married,0,15,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.0515299,45,15.346155,8.083333
24,41,white,married,0,14,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.095006,24,16.467947,3.4166667
25,42,white,married,0,14,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,9.581316,40,17.75,5.4166665
36,37,white,single,1,12,not college grad,0,SMSA,0,Business/Repair Svc,Clerical/unskilled,,4.1806021,40,15.935898,.91666669
39,44,white,single,0,16,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.790657,40,8.8397436,7.9166665
44,41,white,married,0,18,college grad,0,SMSA,0,Public Administration,Professional/technical,union,28.456659,35,16.205128,3.5
45,35,white,married,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,union,10.185181,38,17.25,17.25
46,44,white,married,0,18,college grad,0,SMSA,0,Professional Services,Sales,nonunion,3.0515289,25,5.5448718,2.9166667
47,35,white,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Craftsmen,nonunion,3.5265677,40,8.7371788,.75
48,35,white,single,0,15,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,,5.8528428,40,5.5576925,.33333334
50,36,white,single,0,16,college grad,0,SMSA,1,Professional Services,Professional/technical,,35.731617,45,9.4230766,6.4166665
51,38,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,4.4283414,18,10.269231,3.25
54,40,white,single,1,12,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,5.0322061,55,10.397436,.75
57,42,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,5.7809958,40,12.846154,7.25
62,38,white,married,0,10,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5.1127205,40,7.3653846,5.9166665
63,44,white,single,0,15,college grad,0,SMSA,1,Professional Services,Professional/technical,union,25.160601,18,10.384615,2.0833333
64,38,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,4.4041848,30,7.3846149,3.3333333
66,39,white,married,0,13,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,4.7101436,9,11.480769,9.75
67,40,white,married,0,15,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.0515299,24,11.038462,3.1666667
70,36,white,married,0,13,not college grad,0,nonSMSA,0,Transport/Comm/Utility,Sales,nonunion,16.739124,38,16.083334,16.083334
71,34,white,married,0,12,not college grad,0,nonSMSA,0,Manufacturing,Sales,nonunion,5.7246356,38,10.5,2.5
72,36,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,7.4581928,40,9.4423075,1.0833334
73,36,white,single,1,14,not college grad,0,nonSMSA,0,Manufacturing,Sales,,6.793478,40,14.442307,.5
75,39,not white,single,0,11,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,12.500001,40,14.499999,9.333333
78,40,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,17.697258,35,16.326923,9.083333
80,45,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,12.077295,8,5.7179489,0
85,38,white,single,0,11,not college grad,0,SMSA,1,Manufacturing,Sales,,9.406354,40,6.1923075,1.5
86,44,white,single,1,17,college grad,0,SMSA,0,Entertainment/Rec Svc,Laborers,union,13.172291,44,16.26923,1.25
103,36,white,married,0,18,college grad,0,SMSA,1,Professional Services,Other,union,11.062799,35,9.833333,0
104,41,white,married,0,17,college grad,0,SMSA,0,Professional Services,Other,nonunion,3.7439594,18,8.9487181,2.75
105,41,white,married,0,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4.0257649,8,8.7884617,5.5833335
106,38,not white,single,0,12,not college grad,1,SMSA,1,Public Administration,Sales,nonunion,10.837358,40,17.416666,17.416666
107,43,not white,single,0,8,not college grad,0,SMSA,1,Manufacturing,Operatives,union,4.3478241,40,7.5448713,1.0833334
110,45,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,4.7101436,20,6.6602564,2.5833333
121,39,not white,married,0,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,union,9.726243,38,20.698719,20.666666
123,41,not white,single,0,6,not college grad,0,SMSA,1,Business/Repair Svc,Operatives,union,2.8985493,37,7.3205128,.75
126,39,not white,single,0,12,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10.064413,40,19.75,19.75
128,36,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,8.5185146,40,19.032053,19
129,43,white,single,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8.49436,37,14.230769,10.166667
130,43,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,5.600358,40,6.1538463,.66666669
131,41,white,single,0,12,not college grad,0,SMSA,1,Professional Services,Sales,union,4.2270532,38,12.26282,.25
132,36,white,single,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,5.6199675,43,10.24359,2.6666667
134,42,white,married,0,12,not college grad,0,SMSA,0,Public Administration,Managers/admin,nonunion,4.64573,30,6.1282053,1.5
137,36,not white,married,0,17,college grad,0,SMSA,0,Professional Services,Other,union,15.48309,30,9.833333,9.833333
139,44,not white,single,0,9,not college grad,0,SMSA,1,Professional Services,Sales,union,4.8309178,35,8.5,8.5
141,43,white,single,0,14,not college grad,0,SMSA,0,Professional Services,Sales,,40.198082,40,12.910256,1.1666666
142,43,white,married,0,18,college grad,0,SMSA,0,Professional Services,Professional/technical,union,15.48309,40,15.115384,5.75
143,37,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10.033444,40,7.0769234,.58333331
144,43,white,married,0,10,not college grad,1,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,3.6231885,40,14.326923,.33333334
147,40,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,9.2995138,20,7.666667,3.0833333
152,37,white,married,0,18,college grad,0,SMSA,0,Professional Services,Other,union,10.217388,50,13.673077,4.8333335
159,36,white,married,0,11,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,10.008045,37,17.397436,17.333334
166,38,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Other,nonunion,4.2270532,4,10.602565,1.0833334
167,37,white,married,0,13,not college grad,1,nonSMSA,0,Construction,Sales,nonunion,4.8309178,25,16.980768,7.5
168,41,white,married,0,17,college grad,1,SMSA,0,Professional Services,Other,nonunion,7.7455678,40,11.301282,3.8333333
169,36,white,single,0,16,college grad,0,SMSA,0,Professional Services,Other,union,9.8470192,37,14.833333,14.833333
